Caffeine_Intake,Reaction_Time,Cognitive_Score
41,583.33,36.71
214,368.24,54.35
429,445.21,32.57
464,286.33,70.15
365,237.65,87.54
381,453.43,31.71
39,407.13,59.17
2,298.46,85.02
244,380.08,50.67
355,417.96,44.39
50,490.61,42.78
2,221.63,100.0
30,384.25,67.11
342,342.53,94.42
67,559.14,31.32
405,488.88,52.07
158,433.19,63.09
147,454.81,59.56
207,400.35,43.13
497,491.49,33.2
281,360.05,63.77
100,546.35,28.64
283,437.39,45.34
127,417.94,78.45
178,242.71,74.99
492,493.84,49.2
54,411.75,46.34
218,549.06,43.53
459,452.06,58.08
332,515.78,19.0
8,406.82,68.89
156,301.99,88.6
63,424.84,55.28
305,291.0,72.5
36,520.81,28.78
86,204.58,88.63
161,432.87,53.34
413,281.06,81.85
400,592.28,25.59
414,387.22,62.73
279,397.59,59.16
36,266.77,100.0
208,379.94,76.92
85,415.82,73.25
72,420.7,73.14
262,562.71,57.57
28,395.34,59.35
162,551.36,19.07
477,308.88,61.88
5,437.17,56.54
12,422.67,43.66
170,523.12,20.66
272,507.76,50.83
143,326.48,91.63
185,568.22,17.85
407,483.88,44.46
172,222.41,100.0
144,509.8,37.15
22,417.42,75.64
101,486.32,45.03
241,348.77,90.55
278,344.46,69.48
491,415.19,59.68
141,253.58,90.22
291,200.1,100.0
65,538.84,65.09
230,326.89,67.17
319,248.59,100.0
46,576.36,35.02
246,494.38,37.28
10,254.46,100.0
84,585.6,25.72
69,215.99,93.77
90,471.42,25.68
68,394.28,60.83
12,353.15,47.55
319,262.23,73.11
211,583.79,69.83
315,368.83,69.48
116,242.94,100.0
379,232.74,52.43
381,273.26,100.0
420,498.98,42.24
243,578.18,1.38
449,485.16,65.61
486,500.8,32.56
124,595.1,37.04
317,505.87,30.4
463,331.09,72.66
84,480.46,37.59
399,232.33,89.75
104,533.61,34.84
448,466.35,42.51
331,489.74,67.46
176,327.08,71.77
228,382.96,58.26
323,466.09,38.11
372,588.46,49.63
398,513.61,41.54
362,534.34,36.85
499,208.04,100.0
220,287.66,88.36
50,349.02,71.88
363,435.32,76.79
135,380.93,68.06
143,445.83,57.39
194,273.23,50.98
176,485.36,64.44
146,298.99,68.1
124,482.4,56.92
415,448.72,30.06
498,487.13,50.65
245,555.91,36.1
293,344.9,68.21
282,514.89,42.8
341,483.02,59.03
456,357.53,60.99
71,438.16,69.1
259,337.52,41.12
304,569.01,47.28
377,340.31,78.64
19,533.51,48.85
54,440.87,89.44
140,319.02,66.03
419,521.3,21.14
34,397.58,72.76
59,373.44,66.98
274,563.64,28.18
498,207.23,63.25
114,461.97,41.32
114,209.2,95.95
77,212.51,93.94
89,477.11,49.15
90,210.53,94.81
470,469.24,51.19
147,345.86,66.47
257,390.2,80.73
104,384.69,62.46
54,575.0,44.84
47,566.59,21.58
377,428.67,49.86
376,378.25,81.89
351,570.27,25.88
5,338.37,77.9
356,357.6,76.58
369,368.18,45.01
109,580.46,31.78
4,379.11,61.54
343,279.05,59.58
494,521.68,30.52
247,543.68,30.2
67,229.35,70.28
341,345.89,85.13
448,312.11,46.87
145,479.36,65.86
470,402.68,46.99
277,466.45,48.82
5,383.9,65.22
63,540.85,13.3
470,465.62,27.4
154,536.13,36.46
292,511.64,38.09
151,502.74,36.09
5,448.98,50.92
219,453.39,54.2
143,489.37,43.38
415,522.55,28.36
10,462.88,51.3
46,280.77,86.99
114,584.2,10.25
391,448.69,46.85
492,419.46,59.35
1,290.29,77.7
481,325.64,74.26
416,426.01,62.13
244,581.58,21.34
349,447.34,59.31
139,574.72,23.88
295,346.97,93.92
120,488.47,28.74
493,434.19,26.73
157,484.44,32.67
64,395.47,81.26
32,483.53,32.22
83,424.51,74.89
33,210.36,82.53
385,551.95,28.61
449,279.7,76.3
198,452.13,31.03
110,270.09,77.24
256,342.79,73.25
433,381.51,68.5
426,366.76,41.9
41,583.08,45.25
124,411.26,73.08
492,258.61,69.66
363,347.42,73.94
314,274.2,82.27
227,276.83,96.07
269,506.36,33.83
47,251.88,100.0
349,481.2,27.57
410,367.85,43.49
46,401.63,43.79
231,520.59,21.17
397,200.82,85.79
7,381.23,62.22
483,321.0,52.24
18,456.43,62.97
157,534.94,29.2
224,345.39,65.6
301,366.97,62.72
344,560.0,10.04
469,518.14,17.26
292,515.39,46.91
61,205.33,93.51
411,597.98,27.67
46,451.85,64.92
203,519.42,49.07
27,270.36,74.05
269,571.9,42.25
472,474.99,23.89
242,229.91,96.84
302,276.64,58.65
238,490.52,37.39
201,485.88,37.95
396,540.08,44.62
325,293.94,79.01
367,481.04,23.69
405,542.45,23.84
80,286.74,100.0
233,438.2,46.11
73,415.47,32.34
455,546.38,29.09
108,280.15,89.55
82,356.53,71.99
166,285.89,67.78
415,414.41,57.28
438,426.9,46.59
424,290.3,62.89
344,336.73,74.95
57,253.23,89.96
128,495.29,34.34
499,504.05,43.96
466,228.1,78.51
186,227.43,61.78
448,571.69,21.31
229,454.29,44.86
143,479.97,49.9
38,210.56,100.0
239,382.36,79.74
183,565.35,45.71
94,251.11,80.07
282,542.67,28.62
12,208.78,100.0
400,238.25,59.69
78,349.61,94.07
202,200.91,100.0
423,320.24,71.62
403,416.94,71.9
324,545.41,24.47
97,489.9,58.36
149,537.05,24.01
463,335.81,55.67
10,532.03,5.33
272,331.38,64.73
223,265.92,93.17
71,309.72,98.11
178,251.74,61.73
35,397.21,56.7
59,308.8,86.05
186,397.83,57.18
434,512.46,28.91
203,578.49,28.77
397,463.95,54.04
57,483.77,44.73
407,249.53,62.82
333,366.39,67.53
70,415.41,59.12
27,414.68,37.7
392,229.55,86.25
368,395.04,86.7
368,435.79,75.11
340,216.59,84.95
432,458.65,22.37
235,497.25,53.68
482,567.65,17.0
492,290.16,73.35
189,550.82,22.92
440,571.33,49.48
127,336.45,93.04
473,534.97,26.18
460,315.72,69.18
2,433.45,63.02
132,204.92,88.76
9,348.38,70.46
2,448.37,52.08
444,550.3,16.3
63,308.32,57.3
490,552.64,35.64
1,559.16,61.34
105,201.25,98.76
433,417.64,78.13
43,345.68,59.78
31,420.76,57.85
113,299.75,77.03
392,265.0,60.39
48,234.06,100.0
399,439.11,54.78
25,596.32,43.96
294,212.16,96.21
392,505.56,38.75
124,471.46,67.39
284,571.48,30.82
499,495.87,24.82
110,341.6,49.17
300,569.73,37.15
198,222.54,76.35
441,466.57,23.42
143,331.8,65.54
85,417.83,81.01
228,206.15,82.53
265,387.41,83.88
374,416.62,57.78
492,360.18,78.78
404,367.39,54.44
202,408.05,53.25
430,580.63,39.93
14,312.17,79.59
83,495.74,48.52
253,316.23,87.63
258,322.6,79.87
100,567.55,19.31
466,597.39,34.47
495,520.03,22.18
139,409.61,57.35
232,516.19,33.38
297,267.64,100.0
8,330.22,100.0
488,470.39,35.69
161,461.28,72.8
193,425.93,41.65
173,273.08,75.43
276,415.65,45.26
93,433.54,58.43
351,233.18,61.92
6,337.09,84.15
439,297.76,67.59
9,514.73,50.03
41,588.83,36.14
456,276.25,92.69
246,221.69,87.03
63,421.28,75.28
120,223.88,98.79
83,312.23,96.4
389,364.11,33.38
45,311.61,81.11
351,234.62,100.0
381,364.44,79.69
156,274.0,55.26
185,258.05,72.19
270,353.2,63.78
80,247.57,75.24
0,337.07,94.02
241,296.56,91.2
297,485.76,57.05
73,412.22,55.44
394,287.07,92.78
358,504.81,58.56
76,214.65,100.0
304,391.62,48.6
413,377.12,60.04
453,584.71,0.0
409,228.19,88.94
394,442.58,29.11
10,246.56,86.21
364,292.63,64.2
338,243.23,76.15
336,577.57,29.37
401,526.36,25.05
483,216.03,77.84
410,544.44,33.01
359,308.26,60.24
137,280.15,74.02
158,296.91,59.35
240,582.01,35.85
456,501.12,19.31
313,245.0,84.71
269,496.13,24.63
314,219.04,91.96
209,316.48,73.72
435,508.23,34.85
412,491.84,32.49
423,481.58,38.03
238,568.66,10.76
311,424.21,39.18
224,416.57,69.29
270,445.1,61.87
488,591.84,33.15
408,551.22,23.42
269,588.91,43.67
237,232.34,96.14
178,400.36,66.71
325,444.94,68.69
222,432.15,65.59
142,216.99,90.1
373,389.89,69.36
200,292.03,63.48
107,247.0,85.29
429,595.48,30.67
463,404.46,66.38
106,518.38,37.18
369,281.21,58.6
367,435.43,42.14
398,408.98,63.38
271,489.49,40.25
160,576.23,28.06
170,576.67,50.44
419,208.14,82.43
59,217.55,65.21
8,482.82,51.22
359,472.65,49.24
124,208.64,100.0
129,595.02,8.65
454,565.71,25.08
155,241.93,95.33
165,333.83,70.91
199,248.62,90.78
375,506.84,30.08
499,233.1,76.22
136,215.84,100.0
247,265.58,99.35
248,291.45,61.97
240,345.04,88.14
347,504.4,9.74
303,462.42,47.57
246,420.31,75.43
48,329.28,59.11
225,420.24,48.46
327,584.98,50.26
317,354.57,50.92
432,323.35,74.17
46,365.54,47.36
224,544.09,44.19
203,336.95,74.68
103,483.78,45.01
48,212.37,91.79
208,466.4,44.16
78,299.84,61.57
160,587.59,42.02
121,301.97,88.7
391,525.95,53.22
458,248.02,62.2
325,351.53,54.31
372,387.94,47.1
134,445.06,33.34
426,409.75,42.49
322,220.48,76.91
34,419.98,70.82
201,366.16,65.25
242,413.05,64.27
94,221.43,100.0
267,249.99,74.54
267,434.64,49.52
332,515.86,42.63
33,547.32,21.22
299,490.92,32.0
262,515.69,32.76
117,229.05,75.73
399,473.26,29.19
458,452.61,31.55
117,549.47,56.33
250,406.13,65.61
499,550.29,26.41
476,477.2,48.45
148,568.08,19.46
182,397.2,43.26
228,341.82,45.92
397,579.24,32.97
72,266.56,90.68
305,358.61,54.78
382,478.12,32.92
356,481.07,36.9
3,206.37,100.0
12,409.41,43.58
13,263.64,88.5
65,380.64,62.61
51,533.48,10.77
443,215.07,72.74
134,532.87,30.66
175,534.24,30.41
97,224.91,87.98
211,504.4,49.26
292,562.67,53.98
71,392.63,86.64
198,206.94,89.9
207,585.01,39.81
498,261.5,43.66
372,372.08,64.85
354,298.03,91.9
204,323.61,64.13
110,227.51,75.33
238,488.04,64.5
105,524.23,46.28
211,553.79,42.68
76,313.57,63.32
331,296.09,58.98
298,405.85,77.05
15,403.7,68.22
388,514.85,34.23
371,272.83,66.71
208,570.75,22.36
345,375.17,66.82
132,247.0,91.54
294,475.92,51.15
1,296.85,72.26
167,432.54,56.87
498,251.64,65.95
62,536.17,23.4
276,215.02,91.79
370,318.54,83.01
289,374.56,44.99
5,451.96,58.22
471,401.01,46.2
365,344.05,70.61
131,313.86,57.62
87,499.87,75.2
4,429.36,51.56
92,243.21,100.0
283,242.16,64.58
7,447.78,63.23
184,462.2,66.69
87,538.04,34.99
422,458.95,59.97
405,580.88,22.09
484,516.12,39.15
74,581.91,13.54
60,519.5,14.32
469,556.62,40.05
129,319.72,75.08
154,489.89,29.17
333,325.73,58.95
494,540.2,31.44
323,290.24,66.92
203,551.99,21.94
43,247.55,87.03
292,261.51,89.07
91,473.27,56.9
394,316.17,77.23
426,557.3,30.1
0,395.28,75.62
452,323.6,54.78
267,241.62,83.59
315,298.45,60.56
354,392.54,65.85
159,397.88,76.26
338,242.49,93.48
289,523.06,67.74
210,348.67,60.24
413,202.89,94.38
186,266.08,79.68
32,532.87,45.0
212,554.94,12.57
335,230.65,74.71
388,322.41,75.5
265,482.16,37.34
498,406.42,48.45
334,431.58,62.09
383,337.15,79.2
49,539.99,56.42
314,362.08,80.77
453,563.36,0.0
450,462.24,51.91
461,330.46,30.05
359,270.72,75.85
84,334.62,92.2
467,411.41,70.59
479,236.44,66.81
33,274.28,60.53
173,460.52,50.94
92,221.77,86.3
176,496.13,30.94
217,499.28,14.95
389,225.09,95.9
450,253.62,58.78
293,266.12,72.14
362,445.06,36.73
369,285.88,51.12
102,511.6,35.69
413,258.65,94.23
63,529.23,62.04
113,262.99,94.91
269,403.6,54.6
209,217.02,77.05
191,396.81,57.64
308,467.43,45.43
468,276.04,77.93
180,262.62,83.13
245,274.9,79.28
419,268.2,95.07
82,409.81,25.51
228,573.29,15.54
294,393.77,69.39
463,510.93,34.93
178,577.68,35.71
78,364.3,77.57
382,364.0,46.94
133,296.09,76.84
460,328.28,69.44
30,428.91,41.16
321,399.25,73.59
420,328.05,66.72
26,256.9,68.86
183,278.03,57.0
211,396.37,81.57
330,207.71,72.68
15,463.65,28.33
297,240.59,72.86
372,563.39,41.06
19,321.22,75.53
331,204.66,100.0
232,476.35,51.17
330,487.53,55.24
308,381.75,65.06
248,349.64,66.42
368,270.75,89.07
254,528.68,29.16
7,496.32,81.54
472,264.2,79.18
300,372.1,74.93
464,290.97,53.87
381,490.92,37.51
68,525.23,21.6
307,526.77,42.26
172,240.24,83.07
196,290.44,91.47
194,598.78,17.82
84,414.23,48.63
38,396.08,67.33
318,401.53,64.22
367,460.35,37.58
146,320.76,62.37
278,396.79,45.81
298,486.3,27.19
319,456.58,57.87
367,409.74,57.52
428,364.99,70.46
118,306.45,76.82
188,347.32,63.8
341,446.05,27.19
109,591.92,21.07
226,589.39,30.6
465,485.43,38.69
369,419.87,52.94
403,281.5,49.67
437,568.47,41.82
77,586.27,49.1
347,278.65,50.77
287,272.19,69.64
411,462.08,32.22
223,211.87,100.0
421,533.04,26.39
176,496.86,45.92
129,358.9,70.9
87,519.09,45.24
360,409.12,56.51
262,381.08,39.85
210,556.5,35.9
324,502.13,57.63
389,295.33,96.4
185,552.33,51.4
126,336.61,78.73
69,338.53,68.55
28,472.37,47.81
367,214.61,73.14
159,294.98,51.81
424,485.5,38.2
166,530.99,53.43
340,577.76,0.91
302,372.19,72.58
433,547.27,32.93
250,568.59,18.64
460,445.32,29.53
190,234.16,72.17
431,482.5,61.51
456,506.97,35.64
10,521.16,31.24
455,255.51,89.42
465,550.42,12.76
256,250.0,80.46
183,421.26,64.98
66,320.88,61.0
136,225.23,90.74
200,475.11,32.06
333,491.17,47.63
186,316.6,90.36
447,232.04,74.14
453,551.53,23.57
282,334.77,46.82
59,541.5,36.72
21,288.76,69.35
104,417.65,73.61
468,225.67,66.78
155,508.07,42.82
416,477.93,61.22
284,443.28,46.44
40,507.57,55.51
269,542.6,37.29
473,331.96,72.41
310,571.16,25.61
457,508.73,23.52
497,250.87,75.35
240,255.64,70.09
481,284.69,98.28
98,388.78,80.29
179,350.2,63.9
138,237.92,95.09
450,575.48,21.24
97,237.96,98.1
73,267.89,94.14
330,314.15,72.84
348,308.13,99.19
84,200.58,88.19
53,486.61,78.39
107,375.47,41.93
404,584.13,7.31
93,234.59,76.79
137,555.45,59.04
255,397.11,60.77
169,253.5,80.67
249,393.32,70.27
88,329.88,52.91
34,496.41,32.43
477,494.35,31.82
258,330.53,73.6
102,413.06,65.17
83,285.34,90.68
375,256.1,98.17
342,418.7,69.18
384,517.36,58.69
65,339.61,63.75
403,361.44,40.45
452,522.66,12.75
243,483.33,31.14
369,403.75,42.18
115,445.44,41.51
165,295.83,77.34
285,409.58,52.89
79,569.99,25.07
130,262.75,89.16
430,449.69,41.85
111,472.37,37.25
248,508.59,24.48
243,573.51,36.71
311,388.19,47.38
477,558.27,21.01
304,214.79,74.37
45,478.24,61.59
189,292.72,76.58
237,565.83,27.8
266,426.37,45.52
51,292.64,70.76
85,524.3,66.37
223,580.92,38.42
477,491.83,30.39
164,215.57,100.0
197,506.71,38.41
92,508.29,49.79
145,300.68,75.04
338,317.82,70.82
138,263.39,84.44
409,263.87,81.69
449,215.32,75.53
212,509.13,52.2
416,273.85,85.04
89,389.38,58.97
395,359.64,62.91
451,474.9,54.78
476,599.36,8.34
382,432.68,74.9
35,334.42,66.16
32,200.62,92.27
331,416.9,57.0
358,594.3,19.24
199,248.69,93.97
103,579.64,29.08
239,539.54,38.95
352,483.28,44.66
398,353.25,86.22
253,389.05,54.15
49,553.37,45.19
64,484.71,36.38
448,568.27,36.43
83,335.49,69.88
106,392.61,56.1
412,368.25,44.44
70,594.51,47.52
165,216.81,91.72
420,264.03,84.15
354,361.32,34.25
361,552.8,38.8
287,373.65,74.09
329,250.58,59.16
115,273.41,84.93
182,592.74,10.72
227,366.94,73.55
263,578.99,30.89
0,444.01,32.15
497,581.83,37.29
107,423.42,61.69
58,286.12,77.65
47,201.25,100.0
397,318.85,88.47
414,467.1,46.42
92,283.23,83.9
182,595.17,7.12
192,593.79,49.45
281,593.37,47.64
224,476.05,43.08
261,236.15,87.72
72,277.39,76.58
98,466.68,18.56
490,392.98,58.7
349,284.9,92.39
443,486.68,51.73
238,334.14,54.6
234,501.28,44.67
322,503.22,39.29
401,285.49,65.55
101,326.85,70.86
381,258.72,92.61
265,357.88,26.9
272,429.4,60.49
249,306.66,95.91
425,457.16,60.26
150,516.4,46.28
300,236.53,98.28
445,376.86,69.34
192,514.13,36.12
79,327.12,72.75
35,453.6,58.05
136,492.01,33.28
102,342.06,81.75
390,413.73,58.84
113,259.35,100.0
14,520.29,37.81
62,216.24,87.02
337,582.91,38.56
197,505.95,33.74
14,418.64,46.9
422,284.27,43.98
251,263.45,100.0
99,281.35,80.48
34,412.89,75.76
305,288.13,79.73
49,235.35,83.24
53,433.19,73.54
183,534.28,38.59
353,503.9,50.21
327,379.41,37.97
377,565.39,38.78
129,300.97,68.81
478,373.79,72.54
267,409.85,50.25
46,202.48,100.0
358,479.25,33.67
458,224.42,69.04
265,378.82,82.41
250,392.39,62.05
168,340.49,67.24
89,588.65,40.41
493,335.01,65.86
409,368.83,49.6
80,471.77,52.92
133,286.31,57.72
493,392.15,72.48
456,349.33,79.26
63,238.77,98.44
101,347.97,51.93
278,374.19,72.52
425,307.82,73.8
411,319.69,65.6
499,439.99,39.39
362,572.89,25.38
425,473.61,44.86
149,510.8,32.79
430,458.95,45.96
444,418.04,57.7
213,517.76,49.05
326,595.96,39.45
256,549.48,20.35
85,238.29,82.24
173,591.37,56.23
262,555.08,46.6
372,394.01,73.49
347,542.67,41.62
137,219.07,90.15
259,482.88,33.44
356,204.64,72.77
337,274.49,74.06
159,500.14,61.06
423,281.15,83.48
228,378.49,80.96
212,373.07,81.08
10,581.06,46.31
40,317.56,98.32
151,263.86,77.9
50,499.73,47.36
376,342.48,69.2
474,287.63,88.33
178,389.22,71.77
428,349.22,49.49
195,313.83,80.69
285,533.53,53.18
242,502.76,28.52
463,487.68,23.91
89,423.97,48.71
448,568.68,38.51
392,579.88,39.76
378,588.83,14.35
41,495.62,43.38
33,476.04,56.6
378,515.98,29.84
105,293.77,56.99
262,516.67,31.65
137,363.06,63.5
399,393.26,42.28
472,337.04,75.24
144,414.16,52.19
297,427.7,46.48
385,233.21,92.68
129,424.97,49.64
52,215.49,100.0
402,347.16,46.55
91,252.34,87.72
253,210.21,81.0
463,401.46,61.78
279,214.03,100.0
419,420.23,61.38
81,365.93,58.14
450,588.74,48.73
426,459.33,60.03
252,370.69,45.48
255,519.92,27.15
58,442.29,56.47
404,560.56,19.04
276,429.74,51.76
202,532.12,56.77
51,248.96,100.0
444,557.53,14.8
116,431.04,68.09
95,264.99,74.54
98,267.33,80.78
121,434.6,48.45
436,428.91,37.7
53,244.5,82.99
21,252.04,86.47
284,356.08,71.67
401,557.22,43.26
20,546.62,39.45
302,350.24,77.64
383,404.92,58.95
352,437.72,47.01
325,383.83,82.68
301,331.28,77.22
119,599.61,37.23
71,239.98,95.03
40,370.69,85.77
432,480.98,42.0
359,339.87,81.02
421,545.87,40.35
126,322.84,70.02
460,233.58,92.37
139,472.34,65.2
401,262.64,88.16
283,262.45,92.7
313,470.14,23.73
7,387.21,83.22
222,224.49,81.4
429,537.7,38.3
85,352.7,85.57
489,339.91,65.12
15,467.02,38.66
115,561.91,61.45
52,210.05,57.8
6,514.6,40.66
201,521.3,33.75
62,559.36,34.03
464,584.41,37.52
104,514.89,17.46
472,358.38,32.88
253,529.81,46.14
476,378.34,69.62
403,239.33,97.65
238,367.27,43.43
177,497.86,60.03
176,291.44,64.71
136,566.21,35.96
309,508.36,19.34
337,422.83,55.59
341,458.39,57.68
415,574.34,19.68
91,221.08,100.0
381,468.14,36.61
298,262.41,82.06
169,473.2,40.6
329,431.62,42.23
414,279.22,60.33
117,336.46,84.28
197,282.71,81.74
168,555.13,58.57
295,267.11,69.33
327,401.47,68.85
227,299.61,55.08
318,397.81,51.59
335,315.81,75.42
441,583.38,38.4
464,217.67,94.89
169,355.39,70.54
352,467.36,41.82
100,441.47,53.12
477,257.47,80.1
117,440.35,53.02
303,470.74,35.48
489,414.7,69.2
248,279.78,71.91
254,549.25,62.58
178,433.05,48.72
477,431.82,64.44
492,366.98,49.5
159,562.23,45.92
339,456.46,48.49
271,256.56,100.0
150,565.95,59.38
490,227.52,88.93
180,282.71,53.33
202,538.21,27.56
357,225.17,100.0
348,431.17,35.93
122,546.01,44.86
379,588.55,29.23
358,386.18,33.43
250,442.38,32.52
96,480.75,36.9
423,350.6,64.11
16,589.23,27.52
204,382.79,60.07
455,264.5,96.37
492,576.75,4.34
391,334.69,61.15
425,295.74,55.56
499,282.33,87.46
476,536.11,21.38
451,402.89,45.13
447,549.31,32.96
172,509.2,47.94
5,408.64,54.39
146,398.5,56.66
225,390.07,47.34
455,505.08,56.32
21,454.32,51.51
463,340.89,59.37
490,389.11,64.95
449,453.04,41.06
135,401.08,68.05
91,364.58,71.02
403,477.68,24.83
466,554.77,26.17
412,573.57,41.46
206,259.88,88.67
380,323.37,67.45
387,405.94,56.55
48,545.71,22.94
385,327.46,76.32
191,393.35,55.27
99,594.83,24.78
273,394.84,84.03
485,566.23,22.03
394,238.23,78.32
372,331.44,48.67
143,483.46,49.81
62,304.79,57.01
189,356.16,68.31
477,576.68,37.7
168,222.73,93.82
217,480.21,48.32
409,425.91,36.68
47,555.9,22.26
136,365.72,59.08
491,420.34,68.07
85,558.86,27.11
111,440.28,64.45
44,213.83,71.93
115,261.42,99.73
120,489.85,67.46
413,241.24,75.33
30,581.12,22.5
365,312.26,94.96
441,325.13,76.94
498,237.37,75.33
366,269.17,63.82
238,229.19,100.0
115,451.35,56.72
279,500.11,49.52
101,500.95,53.44
271,344.17,83.77
495,431.88,60.47
415,364.04,80.73
30,227.52,95.83
440,235.9,87.23
109,403.66,29.89
451,595.89,20.96
366,429.1,57.26
454,341.68,64.87
282,311.48,96.6
317,541.31,16.49
137,534.23,65.07
186,333.28,59.83
489,201.7,89.95
59,487.01,52.6
261,274.88,59.67
181,344.11,58.98
23,586.77,28.44
443,482.9,49.96
237,238.79,58.36
369,540.93,7.32
335,219.99,98.69
269,285.41,96.25
154,548.96,56.23
4,494.24,36.45
389,413.95,55.63
21,347.45,65.87
272,426.19,54.78
41,409.15,84.99
362,269.75,66.7
258,582.15,39.26
255,299.75,83.64
119,482.73,48.72
190,276.8,62.37
81,499.14,27.19
410,200.07,80.4
54,430.28,69.81
273,297.37,59.08
3,206.65,86.0
236,593.22,4.11
455,524.32,40.46
273,576.85,16.65
388,465.34,45.68
100,590.61,16.46
351,241.69,91.45
85,257.8,68.53
390,224.05,92.26
262,261.53,75.97
373,337.45,64.0
224,419.47,73.36
300,353.57,60.07
68,510.38,50.23
115,235.87,65.69
421,334.44,60.74
69,261.39,86.8
253,426.66,40.38
474,517.18,35.17
44,366.37,69.61
64,401.36,49.78
201,451.6,51.06
180,205.36,70.07
206,561.48,19.5
499,571.6,30.85
391,451.08,49.85
367,330.01,50.36
468,291.58,65.44
411,456.34,28.32
290,351.93,52.1
95,365.09,43.1
144,312.33,80.46
30,540.94,52.09
77,345.47,73.43
214,489.22,37.23
290,221.96,83.91
175,467.94,36.91
188,324.18,71.76
397,599.86,23.48
81,331.87,90.57
63,447.88,80.14
459,202.39,90.34
45,553.92,42.43
228,581.34,26.6
206,493.07,41.2
136,559.93,25.41
99,283.77,96.18
49,423.73,65.55
27,376.64,87.14
31,579.46,35.85
410,327.46,88.92
255,211.52,95.65
226,228.39,92.12
299,545.75,36.86
50,372.71,87.38
